"key","value"
"Tap to start","Tap to start"
"SCORE","SCORE"
"MOVES","MOVES"
"COMBO","COMBO"
"TIME","TIME"
"HIGHSCORE:","HIGHSCORE:"
"HIGHSCORE","HIGHSCORE"
"SCORE:","SCORE:"
"RETRY","RETRY"
"BACK TO MAP","BACK TO MAP"
"LOST","YOU LOST!"
"WON","WELL DONE!"
"DROPPED","TARGET"
"TARGET SCORE","TARGET SCORE"
"NEXT","NEXT"
"PLAY","PLAY"
"GOAL:","GOAL:"
"DROP","DROP"
"TYPE:","TYPE:"
"LEVEL","LEVEL"
"BACK","BACK"
"KEEP PLAYING","KEEP PLAYING"
"tut_1","Match 3 gems! You have limited moves to reach the goal."
"tut_2","Match 4 gems to create a Row Remover!"
"tut_3","Match an L- or T-shape to create a Bomb!"
"tut_4","Match 5 gems to create a Color Bomb!"
"tut_5","Collect 2 Mushrooms! Your progress is shown in the top corner."
"tut_6","Thorns grow with each move. Watch out!"
"tut_7","You lose if the bomb counter reaches 0!"
"tut_8","Remove all thorns to win"
"tut_9","Collect all hidden treasure!"
"tut_10","Complete the pearls by matching them with the correct colors!"
"5/30"," 5/30"
"0%","0%"
"RESTART","RESTART"
"SOUND ON","SOUND ON"
"SOUND OFF","SOUND OFF"
"NEXT LEVEL","NEXT LEVEL"
"You completed Jewel Academy!","You completed Jewel Academy!"
"Play again to improve your score!","Play again to improve your score!"
"MORE GAMES","MORE GAMES"
"REPLAY","REPLAY"
"SCORE:","SCORE:"
"TOTAL SCORE:","TOTAL SCORE:"
"You'll get it next time!","You'll get it next time!"
"A BoosterMedia Game Studio Production © 2014","A CoolGames Studio production © 2017"
"Your Browser Doesn't Support Audio","Your Browser Doesn't Support Audio"
"Out of moves...","Out of moves..."
"Out of time...","Out of time..."
"No possible moves...","No more matches..."
"A bomb exploded...","A bomb exploded..."
"YES","YES"
"NO","NO"
"CONTINUE","CONTINUE"
"Go to Settings to add Jewel Academy to your Home Screen!","Go to your brower settings to add Jewel Academy to your Home Screen!"
"rewarding_time","Add {0} more seconds to continue playing?"
"rewarding_moves","Add {0} more moves to continue playing?"
"rewarding_unlockGate","Unlock this gate by watching a video"
"Watch Video","Watch Video"
"Cancel","Cancel"
"You didn't watch the full video so no reward for you this time!","You didn't watch the full video so no reward for you this time!",
"subTitleText","Watch the video to gain extra moves, time or unlock gates.",
"creditedMsgTxt","Congratulations! Close the popup to continue playing.",
"closeMsgTxt","Are you sure you want to leave? Continue watching to earn your rewards!"
"New levels","· 40 new levels ·"
"New worlds","· 2 new worlds ·"
"2 new level types","· 2 new level types ·"
"You can now earn extra moves by watching a sponsored video","· Watch a video to earn extra moves ·"
"You can unlock worlds by watching a sponsored video","· Watch a video to unlock worlds ·"
"facebook_connect","CONNECT"
"facebook_disconnect","DISCONNECT",
"whatsnew_line1","· Connect with Facebook to save your progress! ·"
"whatsnew_line2","· See your Facebook friends' progress too! ·"
"whatsnew_line3","· Daily Event ·"
"more_stars","Collect {0} stars to open the gate!"
"facebook_tip","Connect with Facebook to save your progress!"
"freemium_time_success","Great! You added more time!"
"freemium_moves_success","Great! You added more moves!"
"freemium_unlockGate_success","Great! Gate unlocked!"
"Level {0}","Level {0}"
"no_fb_friends","Your friends aren't playing Jewel Academy yet!"
"event_header","Daily Event"
"event_description","A new event will start in:"
"Play level","PLAY LEVEL"
"event_start_description","Play to set a score!"
"event_locked_description","Complete level 10 to unlock the daily event!"
"Replay level","Replay level"
"TOTAL SCORE","TOTAL SCORE"
"christmas_greeting","From the Jewel Academy team and everybody at CoolGames, we wish you a merry Christmas! Happy holidays!"
"whatsnew_daily_event","· Daily event ·"
"beat_my_level","BEAT MY LEVEL!"
"gate_level_locked","Complete all levels before this gate to open it!"
"Too bad","Too bad!"
"What's new","What's new"
"Paused","Paused"
"Well done","Well done!"
"Continue","Continue?"
"Gate locked","Gate locked"
"Congratulations","Congratulations!"
"TARGET","TARGET"
"event_unlocked_message","· Daily event unlocked!"
"event_timing_message","· Every day a new event is available!"
"event_start_message","· Press the event button to play it and earn extra stars!"
"New level goal","· New level goal ·"
